C1-Lower,C1-Upper,C2-Lower,C2-Upper,C3-Lower,C3-Upper,C4-Lower,C4-Upper,Image
37.0000,255,22.0000,255,24.0000,255,6.0000,255,210820 mixed culture_cs_2-3_A_0_cmle.ims
13.0000,255,27.0000,255,34.0000,255,11.0000,255,210820 mixed culture_cs_2-5_A_1_cmle.ims
25.0000,255,38.0000,255,22.0000,255,21.0000,255,210820 mixed culture_cs_2-5_B_2_cmle.ims
21.0000,255,27.0000,255,34.0000,255,8.0000,255,210820 mixed culture_cs_2-5_C_3_cmle.ims
17.0000,255,49.0000,255,25.0000,255,11.0000,255,210820 mixed culture_cs_2-5_D_4_cmle.ims
22.6000,255,32.6000,255,27.8000,255,11.4000,255,Average
