C1-Lower,C1-Upper,C2-Lower,C2-Upper,C3-Lower,C3-Upper,C4-Lower,C4-Upper,Image
47.0000,255,25,255,28.0000,255,42.0000,255,210820 mixed culture_cs_2-3_A_0_cmle.ims
17.0000,255,32,255,53.0000,255,19.0000,255,210820 mixed culture_cs_2-5_A_1_cmle.ims
25.0000,255,47,255,33.0000,255,26.0000,255,210820 mixed culture_cs_2-5_B_2_cmle.ims
24.0000,255,35,255,46.0000,255,11.0000,255,210820 mixed culture_cs_2-5_C_3_cmle.ims
21.0000,255,61,255,36.0000,255,13.0000,255,210820 mixed culture_cs_2-5_D_4_cmle.ims
26.8000,255,40,255,39.2000,255,22.2000,255,Average
